student_idx,team
4,0
10,0
22,0
6,1
17,1
0,2
3,2
9,2
12,3
16,3
30,3
1,4
2,4
11,4
18,4
7,5
13,5
14,5
15,5
20,5
23,5
29,5
19,6
21,6
5,7
8,7
24,7
25,7
26,7
27,7
28,7
