student_idx,team
6,0
17,0
1,1
7,1
11,1
13,1
14,1
15,1
20,1
22,1
23,1
27,1
5,2
19,2
26,2
0,3
3,3
9,3
12,4
16,4
30,4
4,5
10,5
8,6
24,6
25,6
28,6
2,7
18,7
21,7
29,7
