student_idx,team
1,0
19,0
27,0
28,0
3,1
9,1
10,1
4,2
5,2
7,2
12,2
13,2
2,3
16,3
30,3
0,4
8,4
11,4
15,4
18,4
21,4
20,5
22,5
25,5
17,6
23,6
29,6
6,7
14,7
24,7
26,7
